763		B		30440		193
764		P		30600		2503
765		B		30520		937
766		B		30560		1101
767		I		30720		6123
768		B		30640		927
769		B		30680		747
770		P		30840		2130
771		B		30760		1250
772		B		30800		1211
773		P		30960		2343
774		B		30880		904
775		B		30920		1036
776		P		31080		1841
777		B		31000		861
778		B		31040		976
779		I		31200		6218
780		B		31120		844
781		B		31160		609
782		P		31320		1597
783		B		31240		217
784		B		31280		354
785		P		31440		1822
786		B		31360		738
787		B		31400		731
788		P		31560		1898
789		B		31480		360
790		B		31520		471
791		I		31680		6664
792		B		31600		960
793		B		31640		874
794		P		31800		1832
795		B		31720		198
796		B		31760		737
797		P		31920		1511
798		B		31840		750
799		B		31880		892
800		P		32040		1571
801		B		31960		469
802		B		32000		363
803		I		32160		6405
804		B		32080		197
805		B		32120		443
806		P		32280		1642
807		B		32200		715
808		B		32240		659
